id,name,category,calories_100g,carbs_100g,fats_100g,saturated_fats_100g,protein_100g,fibre_100g,sugar_100g,salt_100g
168203,"Apples Granny Smith, Raw",3,58.0,13.6,0.19,0.0,0.44,2.8,9.59,0.00254
171697,"Apricots, Raw",3,48.0,11.1,0.39,0.027,1.4,2.0,9.24,0.00254
168163,"Quinces, Raw",3,57.0,15.3,0.1,0.01,0.4,1.9,0.0,0.01016
171705,"Avocados Commercial Varieties, Raw",3,160.0,8.53,14.7,2.13,2.0,6.7,0.66,0.01778
173944,"Bananas, Raw",3,89.0,22.8,0.33,0.112,1.09,2.6,12.2,0.00254
173946,"Blackberries, Raw",3,43.0,9.61,0.49,0.014,1.39,5.3,4.88,0.00254
171711,"Blueberries, Raw",3,57.0,14.5,0.33,0.028,0.74,2.4,9.96,0.00254
171719,"Cherries Sweet, Raw",3,63.0,16.0,0.2,0.038,1.06,2.1,12.8,0.0
170169,"Nuts Coconut, Raw",9,354.0,15.2,33.5,29.7,3.33,9.0,6.23,0.0508
168191,Dates Medjool,3,277.0,75.0,0.15,0.0,1.81,6.7,66.5,0.00254
173021,"Figs, Raw",3,74.0,19.2,0.3,0.06,0.75,2.9,16.3,0.00254
173040,"Grapes Muscadine, Raw",3,57.0,13.9,0.47,0.0,0.81,3.9,0.0,0.00254
167774,"Grapefruit Juice Pink, Raw",3,39.0,9.2,0.1,0.014,0.5,0.0,0.0,0.00254
168154,"Kumquats, Raw",3,71.0,15.9,0.86,0.103,1.88,6.5,9.36,0.0254
167747,"Lemon Juice, Raw",3,22.0,6.9,0.24,0.04,0.35,0.3,2.52,0.00254
168156,"Lime Juice, Raw",3,25.0,8.42,0.07,0.008,0.42,0.4,1.69,0.00508
169910,"Mangos, Raw",3,60.0,15.0,0.38,0.092,0.82,1.6,13.7,0.00254
169092,"Melons Cantaloupe, Raw",3,34.0,8.16,0.19,0.051,0.84,0.9,7.86,0.04064
169914,"Nectarines, Raw",3,44.0,10.6,0.32,0.025,1.06,1.7,7.89,0.0
169097,"Oranges Commercial Varieties, Raw",3,47.0,11.8,0.12,0.015,0.94,2.4,9.35,0.0
169926,"Papayas, Raw",3,43.0,10.8,0.26,0.081,0.47,1.7,7.82,0.02032
169108,"Passion-fruit Purple, Raw",3,97.0,23.4,0.7,0.059,2.2,10.4,11.2,0.07112
169928,"Peaches Yellow, Raw",3,39.0,9.54,0.25,0.019,0.91,1.5,8.39,0.0
169118,"Pears, Raw",3,57.0,15.2,0.14,0.022,0.36,3.1,9.75,0.00254
169124,"Pineapple Varieties, Raw",3,50.0,13.1,0.12,0.009,0.54,1.4,9.85,0.00254
169949,"Plums, Raw",3,46.0,11.4,0.28,0.017,0.7,1.4,9.92,0.0
167755,"Raspberries, Raw",3,52.0,11.9,0.65,0.019,1.2,6.5,4.42,0.00254
167762,"Strawberries, Raw",3,32.0,7.68,0.3,0.015,0.67,2.0,4.89,0.00254
168872,"Oat Bran, Raw",4,246.0,66.2,7.03,1.33,17.3,15.4,1.45,0.01016
173904,"Cereals Oats Quick, Dry",4,379.0,67.7,6.52,1.11,13.2,10.1,0.99,0.01524
169741,Oat Flour Partially Debranned,4,404.0,65.7,9.12,1.61,14.7,6.5,0.8,0.04826
169721,Wheat Durum,4,339.0,71.1,2.47,0.454,13.7,0.0,0.0,0.00508
169761,Wheat Flour White All-purpose,4,364.0,76.3,0.98,0.155,10.3,2.7,0.27,0.00508
168895,Wheat Flour White All-purpose Self-rising Enriched,4,354.0,74.2,0.97,0.154,9.89,2.7,0.22,3.0225999999999997
169725,Wheat Sprouted,4,198.0,42.5,1.27,0.206,7.49,1.1,0.0,0.04064
169722,Wheat Bran Crude,4,216.0,64.5,4.25,0.63,15.6,42.8,0.41,0.00508
169756,"Rice White Long-grain, Raw",4,365.0,80.0,0.66,0.18,7.13,1.3,0.12,0.0127
169757,"Rice White Long-grain, Cooked",4,130.0,28.2,0.28,0.077,2.69,0.4,0.05,0.00254
168929,Cornmeal Degermed Yellow,4,370.0,79.4,1.75,0.22,7.11,3.9,1.61,0.01778
170290,Corn Flour Whole-grain Yellow,4,361.0,76.8,3.86,0.543,6.93,7.3,0.64,0.0127
169739,Barley Flour Meal,4,345.0,74.5,1.6,0.335,10.5,10.1,0.8,0.01016
170284,"Barley Pearled, Raw",4,352.0,77.7,1.16,0.244,9.91,15.6,0.8,0.02286
170285,"Barley Pearled, Cooked",4,123.0,28.2,0.44,0.093,2.26,3.8,0.28,0.00762
168885,Rye Flour Dark,4,325.0,68.6,2.22,0.269,15.9,23.8,2.31,0.00508
172023,Millet Flour,4,382.0,75.1,4.25,0.536,10.8,3.5,1.66,0.01016
168874,"Quinoa, Uncooked",4,368.0,64.2,6.07,0.706,14.1,7.0,0.0,0.0127
168917,"Quinoa, Cooked",4,120.0,21.3,1.92,0.231,4.4,2.8,0.87,0.01778
170685,"Buckwheat Groats, Roasted, Dry",4,346.0,75.0,2.71,0.591,11.7,10.3,0.0,0.02794
